0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,labels
68,69,66,65,83,73,83,72,46,66,72,79,87,77,73,67,75,46,46,46,46,46,46,46,46,46,46,46,46,46,1
82,65,70,73,46,85,68,68,73,78,46,83,65,68,73,75,46,46,46,46,46,46,46,46,46,46,46,46,46,46,1
46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,1
83,72,79,72,65,78,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,1
80,82,73,89,65,46,82,65,72,65,84,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,0
76,73,90,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,0
46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,1
77,68,46,83,72,65,72,65,68,65,84,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,0
79,77,65,82,46,70,65,82,85,75,46,82,73,68,79,89,46,46,46,46,46,46,46,46,46,46,46,46,46,46,1
77,82,46,78,65,73,77,85,76,46,73,83,76,65,77,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,1
65,76,46,77,79,77,73,78,46,70,65,82,85,75,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,1
65,75,82,65,77,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,1
84,65,77,65,78,78,65,46,89,69,83,77,73,78,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,0
65,89,83,72,65,46,75,72,65,84,79,79,78,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,0
83,65,74,73,65,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,0
83,65,74,69,68,85,76,46,65,83,73,70,46,70,65,82,90,65,78,46,46,46,46,46,46,46,46,46,46,46,1
65,78,73,83,65,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,0
77,68,46,46,74,65,72,73,82,85,76,46,73,83,76,65,77,46,74,65,72,73,82,46,46,46,46,46,46,46,1
77,68,46,46,65,83,73,70,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,1
77,68,46,77,65,77,85,78,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,1
77,68,46,82,65,83,69,76,46,83,72,69,73,75,72,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,1
82,65,87,83,72,65,78,46,73,65,74,68,65,78,73,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,1
70,65,82,72,65,68,46,75,46,72,65,78,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,1
77,68,46,46,73,77,82,85,76,46,75,65,89,69,83,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,1
77,73,84,72,73,76,65,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,0
77,65,72,66,85,66,65,46,66,73,76,75,73,83,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,0
70,65,82,65,72,46,65,72,83,65,78,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,0
68,82,46,46,82,65,74,69,83,72,46,83,73,75,68,69,82,46,46,46,46,46,46,46,46,46,46,46,46,46,1
68,82,46,46,46,83,65,89,69,77,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,1
46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,0
65,70,82,79,90,65,46,46,83,85,76,84,65,78,65,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,0
84,65,78,90,73,65,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,0
77,68,46,46,68,69,76,79,87,65,82,46,72,79,83,83,65,73,78,46,46,46,46,46,46,46,46,46,46,46,1
77,68,46,46,83,72,65,75,73,76,46,72,79,83,83,65,73,78,46,46,46,46,46,46,46,46,46,46,46,46,1
84,65,83,75,73,78,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,1
77,82,46,46,77,79,83,72,73,85,82,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,1
83,65,89,70,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,1
83,65,78,74,73,68,65,46,77,65,88,73,77,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,0
83,89,69,68,46,84,65,78,86,73,82,46,72,85,83,65,73,78,46,46,46,46,46,46,46,46,46,46,46,46,1
73,77,84,73,65,90,46,65,72,77,69,68,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,1
82,65,89,72,65,78,65,46,77,79,72,65,77,77,69,68,46,46,46,46,46,46,46,46,46,46,46,46,46,46,0
70,65,84,69,77,65,46,46,83,85,77,73,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,0
83,72,65,70,73,85,76,46,71,65,78,73,46,65,75,65,83,72,46,46,46,46,46,46,46,46,46,46,46,46,1
74,65,72,73,68,85,82,46,82,65,72,77,65,78,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,1
83,65,66,82,73,78,65,46,72,46,82,85,77,73,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,0
67,76,69,65,78,71,82,69,69,78,46,66,68,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,1
77,79,78,65,77,73,46,65,72,77,69,68,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,0
77,65,82,73,65,77,46,83,87,65,82,78,65,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,0
83,65,68,73,75,46,70,65,73,83,65,76,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,1
77,46,89,65,75,85,66,46,77,73,90,65,78,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,1
46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,0
84,65,78,86,69,69,82,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,1
84,65,89,69,66,85,76,46,90,73,83,72,65,78,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,1
84,65,78,73,65,46,65,75,84,69,82,46,76,73,90,65,46,46,46,46,46,46,46,46,46,46,46,46,46,46,0
77,79,72,65,77,77,65,68,46,83,72,65,72,65,78,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,1
83,85,90,65,78,65,46,46,77,79,77,69,78,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,0
65,80,85,82,66,65,46,66,72,79,87,77,73,75,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,1
80,82,73,89,65,46,46,82,65,72,77,65,78,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,0
70,65,82,73,72,65,46,73,83,82,65,84,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,0
73,77,84,73,65,90,46,85,68,68,73,78,46,65,72,77,69,68,46,67,72,79,87,68,72,85,82,89,46,46,1
65,78,85,82,85,80,65,46,83,73,75,68,69,82,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,0
83,79,78,73,65,46,82,79,85,70,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,0
77,46,83,46,83,72,65,82,73,65,82,46,84,69,76,69,67,79,77,46,46,46,46,46,46,46,46,46,46,46,1
83,72,65,82,73,65,82,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,1
83,72,65,75,73,76,65,46,72,79,83,83,65,73,78,46,46,77,79,85,46,46,46,46,46,46,46,46,46,46,0
70,65,90,76,69,46,82,73,68,79,89,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,1
78,65,72,73,68,46,74,65,75,69,82,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,1
46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,1
65,75,72,84,69,82,46,72,79,83,83,65,73,78,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,1
79,83,46,65,75,65,83,72,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,0
65,66,85,46,83,72,85,70,73,65,78,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,1
77,79,72,65,77,77,65,68,46,77,85,83,72,70,73,81,85,82,46,82,65,72,77,65,78,46,46,46,46,46,1
46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,1
83,65,85,82,65,86,46,66,73,83,87,65,83,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,1
82,65,72,78,85,77,65,46,74,65,78,78,65,84,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,0
83,65,76,73,77,46,65,72,65,77,77,69,68,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,1
82,65,73,83,85,76,46,65,72,77,69,68,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,1
77,68,46,74,65,76,65,76,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,1
77,79,83,84,65,75,46,65,72,77,69,68,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,1
70,65,82,73,72,65,46,67,72,79,87,68,72,85,82,89,46,46,46,46,46,46,46,46,46,46,46,46,46,46,0
84,82,73,83,72,65,46,66,65,82,73,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,0
83,72,65,78,84,65,46,83,73,68,68,73,81,85,65,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,0
69,72,83,65,78,46,77,65,83,72,85,75,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,1
83,79,72,69,76,46,77,65,72,77,85,68,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,1
85,82,77,73,46,46,75,72,65,78,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,0
72,69,76,69,78,65,46,75,72,65,78,65,77,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,0
83,85,90,65,78,46,66,72,85,73,89,65,78,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,0
83,72,65,72,65,78,65,46,72,79,83,83,65,73,78,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,0
70,65,90,76,69,46,65,66,69,68,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,1
69,78,71,82,46,65,66,68,85,76,76,65,46,65,76,46,77,65,77,85,78,46,46,46,46,46,46,46,46,46,1
65,78,74,85,77,65,78,46,65,82,65,46,66,69,71,85,77,46,46,46,46,46,46,46,46,46,46,46,46,46,0
78,85,82,74,65,72,65,78,46,76,85,78,65,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,0
82,65,75,65,46,84,65,66,65,83,83,85,77,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,0
