SBU_id,master_category_id,service_category_id,loc_id,media_id,sp_id,lft_platform,placed_orders,taken_orders,complains,avg_csat,csat_number,lft_reschedules_customer,lft_customer_gmv,create_hr_day,schedule_hr_day,gap_hr_create_schedule,sp_change,reschedule_counter,schedule_due_counter,if_promo_used,if_completed
1,73,74,1.0,8.0,17674,96,5,1,0,5.0,1,6,350.00,18,16,45,1,3,2,0,0
3,3,152,12.0,2.0,3439,465,24,16,2,5.0,10,74,29077.00,16,10,41,1,0,1,0,0
2,226,24,47.0,12.0,2552,425,3,2,0,4.5,2,3,4270.00,16,10,17,0,0,0,0,0
3,505,260,18.0,9.0,1109,645,29,13,3,3.4166666666666665,12,65,11914.00,11,14,2,0,0,1,0,0
1,1,12,12.0,2.0,1073,473,11,7,3,4.166666666666667,6,19,31499.00,18,9,182,0,1,0,0,0
,338,347,2.0,8.0,154663,1285,146,99,6,4.269230769230769,78,104,135925.19,22,10,11,0,0,1,0,1
8,101,159,11.0,8.0,80592,234,9,6,1,5.0,5,8,2734.00,13,19,125,0,0,0,0,0
1,1,11,5.0,2.0,4970,630,12,9,1,4.666666666666667,3,9,15850.00,12,18,29,0,1,1,0,1
7,184,584,20.0,8.0,75057,0,1,1,0,5.0,1,1,550.00,15,15,47,0,1,0,1,1
1,73,76,1.0,11.0,2130,250,9,6,0,5.0,1,11,2799.00,11,14,2,0,0,1,0,0
1,73,82,20.0,2.0,73839,513,37,25,8,4.411764705882353,17,74,4556.00,13,17,99,1,2,1,0,1
4,183,339,5.0,9.0,14256,486,41,32,2,5.0,25,78,31929.00,20,14,17,0,1,1,0,0
6,266,269,1.0,12.0,1809,0,2,1,1,1.0,1,9,150.00,17,13,115,0,7,0,1,0
1,1,12,36.0,8.0,594,0,1,1,0,5.0,1,1,499.00,1,12,10,0,1,0,1,1
1,1,14,44.0,2.0,13742,82,2,1,0,5.0,1,0,4200.00,11,14,2,0,0,0,0,1
1,1,618,1.0,12.0,9,349,7,4,0,5.0,4,10,2749.00,14,18,75,1,3,1,0,1
,338,347,4.0,8.0,144636,0,1,1,0,5.0,1,3,510.00,9,16,6,0,3,2,0,1
7,184,584,36.0,8.0,65288,480,10,6,0,4.833333333333333,6,29,11600.20,10,9,166,0,2,0,1,0
1,1,15,6.0,8.0,1524,395,7,4,0,5.0,4,3,1838.00,13,20,102,0,1,0,1,1
1,1,14,6.0,2.0,19753,1033,21,10,0,5.0,5,29,12979.00,7,18,514,1,6,0,0,0
2,226,332,11.0,8.0,18220,796,3,2,0,5.0,1,3,119900.00,23,18,90,0,0,0,0,1
4,183,339,17.0,9.0,1451,0,1,1,0,5.0,1,0,4500.00,3,13,9,0,0,0,0,1
1,1,14,29.0,8.0,9,292,2,2,0,5.0,2,3,7698.00,18,11,40,0,0,0,0,1
5,186,207,6.0,2.0,3015,40,11,4,1,5.0,2,11,1400.00,15,15,23,0,1,0,0,1
1,73,75,1.0,9.0,,31,2,1,0,4.0,1,5,1500.00,22,11,60,0,1,0,0,0
4,183,339,11.0,2.0,21894,382,118,104,1,4.75,40,82,453700.00,10,16,29,0,0,0,0,1
1,1,13,2.0,8.0,3964,680,16,6,2,3.4,5,10,4505.00,11,13,1,0,0,1,0,0
5,235,518,11.0,11.0,233,828,16,15,0,5.0,3,22,20550.00,20,9,12,0,0,0,0,1
1,1,19,6.0,2.0,803,1000,5,4,1,5.0,3,15,4654.00,21,12,86,0,2,0,0,1
6,185,227,11.0,2.0,1751,564,23,8,1,5.0,6,23,4300.00,11,13,121,0,8,0,0,0
1,225,21,4.0,9.0,649,22,5,5,1,5.0,5,4,5880.00,15,18,2,0,0,0,0,1
1,225,21,11.0,2.0,649,593,7,6,0,4.0,2,16,2168.00,12,16,3,0,0,0,0,1
6,185,247,47.0,8.0,1809,0,5,2,0,5.0,1,5,680.00,16,17,0,0,0,0,0,0
7,184,72,12.0,11.0,2345,532,55,52,0,5.0,2,6,8279.00,17,17,167,0,0,0,0,1
5,186,207,2.0,8.0,3015,781,96,67,6,4.821428571428571,56,121,30685.00,14,17,170,0,6,0,1,1
1,1,14,1.0,2.0,13087,205,10,8,1,5.0,1,23,4649.00,21,9,59,1,2,2,0,0
1,1,14,87.0,9.0,975,0,1,1,0,5.0,1,3,2500.00,16,20,27,0,3,0,0,1
2,226,23,1.0,8.0,3429,392,39,14,2,4.2,10,65,11059.00,12,14,1,1,0,0,0,0
1,225,22,1.0,8.0,649,410,14,8,0,4.285714285714286,7,11,8867.00,15,9,17,0,0,0,0,0
5,186,563,11.0,8.0,3015,152,5,3,0,5.0,3,0,2200.00,16,17,0,0,0,1,0,0
4,544,546,11.0,9.0,13935,861,170,100,13,4.842696629213483,89,226,141841.75,14,19,4,0,1,1,0,1
1,225,22,1.0,8.0,71414,521,9,7,0,5.0,6,14,10192.00,20,9,12,1,0,0,0,1
1,1,14,44.0,8.0,277,156,3,3,1,5.0,2,1,5450.00,14,21,102,0,1,0,0,1
7,184,72,12.0,11.0,2345,812,13,13,0,4.666666666666667,3,14,9597.00,15,17,169,0,0,0,0,1
6,185,247,50.0,8.0,12664,173,19,14,1,4.416666666666667,12,24,5475.00,23,14,110,1,6,3,0,0
6,185,247,1.0,12.0,76159,361,9,9,0,5.0,4,19,4457.00,18,20,73,0,1,0,0,1
3,3,152,5.0,12.0,950,285,36,15,0,5.0,9,38,13768.00,12,9,92,0,2,1,0,0
1,1,618,11.0,12.0,4381,0,2,2,0,5.0,2,3,2149.00,12,20,79,0,1,1,0,1
3,3,177,11.0,2.0,706,0,1,1,0,5.0,1,0,2000.00,21,9,11,0,0,0,0,1
5,186,207,49.0,9.0,3015,183,20,13,2,4.166666666666667,12,31,9990.00,22,9,58,0,4,1,0,1
1,1,14,12.0,9.0,277,388,22,6,2,5.0,4,13,3249.00,14,10,91,0,0,1,0,0
6,185,247,17.0,12.0,4972,281,13,7,0,5.0,5,21,5608.00,17,12,18,0,0,1,0,0
1,225,22,4.0,2.0,649,212,3,2,0,5.0,2,1,1200.00,19,20,0,0,1,0,0,1
7,184,584,47.0,9.0,3504,288,8,5,2,3.5,4,39,27447.00,13,9,115,1,6,5,1,0
1,1,14,49.0,11.0,28,463,7,5,0,5.0,2,8,3690.00,9,9,215,0,1,0,0,0
3,3,606,2.0,8.0,75897,25,2,2,0,4.0,1,7,2500.00,12,16,411,0,4,0,0,1
1,225,21,5.0,9.0,595,160,8,3,1,4.333333333333333,3,17,3048.00,15,10,66,1,1,1,0,0
8,455,461,12.0,9.0,17291,509,36,19,0,4.555555555555555,9,42,43169.00,17,14,140,0,1,0,0,0
6,185,247,50.0,8.0,41603,90,18,10,2,5.0,3,26,3620.00,23,15,111,1,5,5,0,0
1,1,14,6.0,8.0,,1038,10,5,0,4.666666666666667,3,18,5250.00,18,9,14,0,0,0,0,0
1,1,14,49.0,9.0,349,187,4,1,0,1.0,1,2,2299.00,2,13,10,0,2,0,1,1
7,184,584,2.0,12.0,3504,283,9,6,0,5.0,1,12,8056.00,18,14,211,1,2,1,0,0
7,184,72,12.0,11.0,2345,748,41,40,1,5.0,2,35,14374.00,14,17,218,0,1,0,0,1
1,1,284,5.0,8.0,595,187,2,2,0,5.0,2,2,9200.00,16,19,2,0,1,0,0,1
3,221,223,6.0,2.0,233,712,17,11,0,5.0,7,17,14390.00,7,22,14,0,1,0,0,0
3,224,245,2.0,12.0,34230,624,49,26,0,5.0,23,49,30763.00,12,9,20,1,2,1,1,0
7,184,72,5.0,9.0,1909,221,21,17,2,4.714285714285714,14,48,39708.00,9,21,107,0,3,0,0,1
1,1,13,51.0,8.0,2074,856,5,3,0,5.0,1,17,2700.00,12,20,103,0,7,4,0,1
7,184,72,12.0,4.0,2345,1096,30,28,0,4.5,2,12,2944.00,10,17,174,0,0,0,0,1
